distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentDistanceLast10,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
469,0.10,0.64,0.57,-0.24,47.50,0.94,7.97,9,MISS,-0.80
501,0.10,1.28,0.61,0,44,0.95,7.90,9,MISS,-0.86
477,0.10,-0.42,0.60,-0.25,51,0.96,7.99,10,MISS,0.14
487,0.10,0,0.79,0.43,45.91,0.80,0,0,MISS,0.61
504,0.10,-0.68,0.61,0.55,62.98,0.95,7.97,4,HIT,-0.73
516,0.10,0.23,0.69,0,69.83,0.87,6,0,MISS,-0.71
535,0.10,-0.79,0.64,-0.25,44,0.96,7.96,9,MISS,-0.12
534,0.10,0,0.84,-0.75,51.94,0.83,0,0,MISS,-0.73
527,0.10,-0.59,0.62,0.07,56.98,0.94,7.98,11,MISS,0.18
504,0.10,-0.28,0.77,-0.72,33.94,0.85,2.99,3,MISS,-0.17
481,0.10,-0.10,0.77,-0.26,29.93,0.88,2,2,MISS,-0.34
490,0.10,-0.10,0.72,-0.23,25,0.84,1.75,2,MISS,-0.14
464,0.10,0.42,0.67,-0.21,31.67,0.74,5.52,2,MISS,-0.38
357,0.10,0.52,0.66,-0.11,19,0.88,2.38,2,MISS,0.14
291,0.10,0.46,0.62,0.31,27.83,0.78,1.72,2,MISS,0.14
233,0.10,1.16,0.51,0.21,8.67,0.87,2.88,3,HIT,-0.32
350,1.99,1.67,0.60,0,72,0.93,7.82,30,BULLETHITBULLET,0.89
364,1.99,1.61,0.61,-0.18,44,0.94,7.84,9,MISS,-0.94
376,1.99,1.47,0.59,-0.17,44,0.89,7.86,9,MISS,0.45
425,1.99,0.23,0.74,0.64,33,0.87,1.99,2,MISS,0.62
461,1.99,0.26,0.80,0.21,22.46,0.87,2.49,2,MISS,-0.95
484,1.99,-0.58,0.68,-0.46,71.81,0.80,7.98,17,MISS,0.25
478,1.99,-4.70,0.67,0.47,71.30,0.61,6.48,31,MISS,-0.00
474,1.99,0.69,0.47,0.36,43.97,0.92,7.97,9,HIT,-0.22
468,1.99,-3.04,0.74,-0.03,46.38,0.55,4.59,2,HIT,-0.39
490,1.99,1.21,0.33,0.03,5.96,0.90,2.75,11,HIT,0.37
491,1.99,-0.34,0.59,0.34,20.97,0.92,3.99,4,MISS,-0.43
492,1.99,-0.14,0.82,-0.04,6.30,0.60,1.87,2,HIT,0.29
493,1.99,0,0.45,-0.42,27.85,0.83,0,3,MISS,0.09
496,1.99,-1.12,0.82,0.11,4.90,0.51,2.23,2,MISS,-0.61
473,1.99,0.74,0.53,-0.14,50.97,0.92,7.97,5,HIT,0.44
473,1.99,0.70,0.67,0.42,71.94,0.92,7.97,19,MISS,0.27
466,1.99,0.23,0.82,0.50,10.53,0.85,2.49,2,MISS,-0.81
465,1.99,0.78,0.68,0.18,45.75,0.92,7.96,9,MISS,0.78
440,1.99,0.87,0.66,-0.60,72,0.84,7.95,24,MISS,0.20
434,1.99,0.21,0.72,0.76,32.98,0.88,1.99,2,MISS,0.08
468,1.99,0.65,0.68,0.24,40,0.93,7.97,8,MISS,-0.62
476,1.99,0.84,0.66,-0.46,71.70,0.87,7.96,18,HIT,0.23
505,1.99,-0.60,0.71,0.10,26,0.94,6.97,7,MISS,-0.68
529,1.99,-0.53,0.70,0.18,43.93,0.92,7.98,9,MISS,0.76
551,0.93,0.51,0.75,-0.66,65.89,0.94,3.97,0,BULLETHITBULLET,0.25
570,0.71,-0.72,0.67,0.63,56.89,0.92,7.97,10,MISS,0.09
599,0.48,-0.25,0.79,0.26,13.01,0.90,1.73,2,MISS,0.05
616,0.10,-0.42,0.81,0.15,4.84,0.92,3.10,3,MISS,-0.10
606,0.10,-0.35,0.80,0.08,11.78,0.90,2.98,3,MISS,-0.01
610,0.10,-0.62,0.76,0.13,11.89,0.92,4.58,4,MISS,-0.02
611,0.10,-0.44,0.79,0.11,10.96,0.89,2.95,3,HIT,-0.15
315,1.99,2.41,0.54,0,71.94,0.90,7.63,14,HIT,-1.00
351,1.99,1.72,0.60,-0.37,50.99,0.93,7.81,10,HIT,0.41
412,1.99,0.41,0.79,0.46,9.12,0.80,2.47,1,HIT,0.36
444,1.99,0.84,0.66,0.41,67.32,0.80,7.96,12,MISS,-0.75
454,1.99,-1.37,0.64,0.30,43.97,0.90,7.88,9,MISS,0.67
480,1.99,-0.08,0.76,0.44,28.95,0.87,1.50,1,MISS,0.58
507,1.99,-0.15,0.83,0.22,32.47,0.85,1.49,1,MISS,-0.35
512,1.99,-0.67,0.70,0.52,68.21,0.93,7.97,14,MISS,0.13
483,1.99,-0.19,0.78,-0.45,3.59,0.90,3.75,4,MISS,-0.45
472,1.99,0.13,0.80,-0.07,26.96,0.79,1.62,1,MISS,0.83
475,1.99,-0.44,0.66,-0.17,68.54,0.91,7.99,4,HIT,0.17
464,1.99,0.10,0.82,0.78,28.96,0.87,1.50,1,MISS,-0.35
440,1.99,1.17,0.66,-0.31,67.98,0.92,7.91,14,MISS,-0.63
446,1.99,0.18,0.80,0.04,11.02,0.85,1.49,1,MISS,-0.86
459,1.99,1,0.66,-0.41,69.33,0.83,7.94,14,MISS,0.77
491,1.99,0.40,0.78,-0.85,62.63,0.77,3.98,0,BULLETHITBULLET,-0.02
514,1.99,-0.56,0.69,0.67,53.89,0.89,7.98,10,MISS,0.79
483,1.99,-0.24,0.80,0.40,54.90,0.79,3,1,MISS,0.63
455,1.99,0.36,0.57,0.20,10.02,0.90,3.98,4,MISS,0.58
481,1.99,-0.45,0.68,-0.36,71.89,0.90,7.99,20,MISS,-0.45
493,1.99,-0.30,0.78,0.61,14,0.89,3.99,3,MISS,0.34
513,1.99,-0.49,0.69,-0.29,70.77,0.74,7.98,12,MISS,-0.50
528,1.99,-0.63,0.63,0.38,44,0.92,7.98,9,MISS,0.65
545,1.99,-0.61,0.70,-0.36,65.83,0.85,7.98,11,MISS,-0.04
558,1.99,-0.69,0.74,0.61,65.88,0.81,6.97,1,MISS,-0.66
572,1.99,-0.77,0.65,0.20,50.93,0.89,7.96,10,MISS,0.75
570,1.99,-0.94,0.72,-0.60,72,0.71,7.94,24,MISS,0.34
554,1.99,-0.88,0.71,0.56,47.50,0.52,7.95,9,MISS,-0.17
515,1.99,0.47,0.38,0.46,0.73,0.89,2.96,6,MISS,0.72
536,1.99,0.05,0.56,0.01,23.95,0.89,2,0,MISS,0.72
534,1.99,-0.67,0.65,0.44,59.97,0.91,7.97,5,MISS,0.75
533,1.89,-0.08,0.84,0.64,44.94,0.84,1,1,BULLETHITBULLET,0.31
528,1.66,-0.62,0.70,0.65,56.98,0.89,7.98,9,MISS,0.03
530,1.44,-0.43,0.70,0.17,15,0.92,5.98,6,MISS,-0.43
540,0.99,-0.27,0.80,0,8.99,0.87,2.99,1,MISS,0.59
534,0.76,-0.64,0.67,-0.22,70.96,0.86,7.97,13,MISS,-0.16
534,0.54,0.03,0.66,0.20,32.98,0.93,5,0,HIT,0.05
522,1.99,-0.38,0.82,0,33.24,0.62,1.96,2,MISS,-0.99
529,1.99,-0.77,0.63,-0.23,59.50,0.92,7.96,11,HIT,0.64
538,1.99,-0.81,0.71,-0.65,72,0.75,7.96,25,MISS,-0.03
523,1.99,-0.82,0.75,0.74,63.97,0.42,5.94,1,MISS,-1.00
518,1.99,-0.74,0.56,0.24,52.98,0.93,7.97,5,MISS,0.76
502,1.99,-0.67,0.68,-0.68,72,0.88,7.97,19,MISS,0.71
497,1.99,0,0.83,0.71,24.98,0.73,0,0,MISS,0.53
475,1.99,-0.96,0.67,0.59,53.46,0.68,7.94,6,MISS,0.42
437,1.99,0.47,0.51,0.54,3.30,0.88,1.94,0,MISS,-0.16
409,1.99,0,0.82,-0.16,26.96,0.48,0,0,MISS,-0.01
394,1.99,0,0.82,0,0,0.37,0,14,MISS,0.25
414,1.99,0,0.81,0,0,0.49,0,28,MISS,0.59
407,1.99,-4.15,0.62,0.48,61.94,0.74,6.84,9,MISS,-0.03
358,1.99,-3.39,0.68,0.15,12.65,0.67,4.33,5,MISS,-0.91
357,1.99,1.65,0.55,0.58,71.93,0.92,7.83,24,MISS,0.19
387,1.27,0.48,0.69,0.51,65.64,0.89,3.97,0,MISS,-0.75
414,1.18,1.33,0.61,0.26,56.97,0.86,7.89,11,MISS,-0.35
420,1.11,0.49,0.64,0.28,11,0.92,3.97,4,MISS,0.54
442,1.04,0.87,0.62,-0.26,72,0.95,7.95,17,MISS,-0.17
446,0.50,0.59,0.67,-0.03,26.96,0.96,5.97,6,MISS,-0.20
450,0.48,0.65,0.68,-0.04,23.93,0.95,6.50,6,MISS,-0.15
471,0.46,0.74,0.67,-0.04,27.47,0.95,6.77,7,HIT,-0.24
484,0.45,-0.51,0.64,-0.07,26.96,0.93,7.08,7,MISS,-0.65
481,0.48,-0.21,0.76,0.01,17.98,0.89,3,3,MISS,0.24
463,0.46,0.68,0.58,-0.55,68.87,0.93,7.97,14,MISS,-0.94
434,0.45,1.04,0.64,0.37,25.99,0.95,6.92,7,MISS,1.00
441,0.43,1,0.57,0.60,71.90,0.94,7.94,21,MISS,0.15
455,0.42,0.54,0.69,0.38,0.59,0.93,4.47,4,MISS,0.19
439,0.40,0.25,0.76,0.34,12.03,0.87,1.98,2,MISS,-0.70
469,0.38,0.47,0.60,0,15.09,0.93,5.98,6,BULLETHITBULLET,-0.25
450,0.39,1.07,0.57,-0.58,56.86,0.76,7.93,8,HIT,-0.87
475,0.37,0.07,0.62,-0.72,71.92,0.96,8,17,MISS,0.07
477,0.55,0.25,0.68,-0.06,25.96,0.92,7,7,BULLETHITBULLET,-0.24
495,0.73,-0.56,0.67,0,26,0.94,6.98,7,MISS,1.00
508,0.94,-0.63,0.65,0.52,72,0.79,7.98,21,MISS,0.20
495,1.16,-2.32,0.64,1,71.09,0.54,7.66,34,MISS,-0.62
515,1.35,-0.71,0.55,0.32,51,0.95,7.97,10,MISS,-0.05
536,1.47,0,0.84,-0.59,24.99,0.77,0,0,MISS,0.72
544,1.31,-0.64,0.68,0.49,59.67,0.94,7.97,6,MISS,-0.10
506,1.15,-0.46,0.75,0.18,3.06,0.93,4.98,5,HIT,0.50
466,1.01,0,0.82,0.29,6,0.82,0,0,MISS,-0.19
477,1.30,0.83,0.63,-0.40,65.87,0.93,7.96,13,MISS,-0.52
505,1.14,-0.67,0.66,-0.24,51,0.94,7.97,10,MISS,0.04
509,1.01,-0.41,0.60,0.11,26.03,0.96,6.99,7,MISS,-0.83
507,0.91,-1.90,0.66,-0.36,65.48,0.81,7.77,13,MISS,0.15
513,0.81,-0.43,0.71,0.28,9.07,0.95,5.48,5,MISS,0.21
519,0.34,-0.91,0.74,0.08,3.02,0.89,4.92,5,MISS,-0.58
491,0.32,-0.50,0.54,0.15,39.98,0.94,7.98,8,MISS,0.57
503,0.31,-0.64,0.62,-0.48,50.93,0.96,7.97,8,MISS,0.18
496,0.29,-0.25,0.75,0.23,1.35,0.88,3.24,3,MISS,0.22
489,0.11,0.31,0.73,0.20,41.74,0.90,3.63,0,BULLETHITBULLET,-0.71
495,0.28,-0.20,0.76,0.03,0.92,0.88,2.71,3,MISS,-0.66
477,0.10,0.07,0.60,0,72,0.93,8,17,MISS,-0.94
484,0.10,-0.45,0.59,-0.33,51,0.95,7.99,10,MISS,0.01
488,0.10,0.09,0.79,0.39,50.96,0.84,1,0,MISS,-0.73
485,0.10,-0.41,0.59,0.10,53.95,0.95,7.99,10,MISS,0.17
482,0.10,-0.28,0.71,0.27,2.17,0.92,3.99,4,MISS,0.18
483,0.10,-0.29,0.72,0.05,1.19,0.92,3.99,4,MISS,-0.56
476,0.10,-0.42,0.52,-0.43,39.95,0.96,7.99,8,MISS,-1.00
481,0.10,-0.57,0.60,-0.23,43.89,0.95,7.98,9,MISS,0.58
473,0.10,-0.56,0.61,0.46,72,0.94,7.98,20,MISS,0.07
447,0.10,0.16,0.73,0.12,5.51,0.85,1.55,1,MISS,-0.63
481,0.10,-0.17,0.60,-0.49,67.96,0.87,8,14,MISS,-0.28
499,0.10,-0.12,0.79,-0.28,7.71,0.88,1.93,2,MISS,0.16
494,0.10,-0.58,0.62,0.28,50.89,0.97,7.98,10,MISS,-0.06
485,0.10,-0.28,0.66,0.28,15.03,0.94,6,6,HIT,-0.04
477,1.99,3.60,0.69,0,57,0.91,7.14,11,HIT,-0.30
500,1.99,-0.40,0.68,-0.20,56.87,0.92,7.99,11,MISS,0.01
538,1.99,-1.28,0.74,0,28.49,0.88,7.14,7,MISS,-0.69
550,1.99,-0.63,0.62,-0.25,56.89,0.93,7.98,9,MISS,0.05
546,1.99,-0.38,0.78,0.37,9.99,0.77,3.98,4,MISS,0.87
538,1.99,-0.11,0.82,0.05,45.92,0.70,3,1,MISS,0.93
507,1.99,-3.77,0.71,0.70,68.67,0.71,7.05,13,MISS,0.99
459,1.99,-4.09,0.67,0.78,64.88,0.76,6.88,7,MISS,0.82
396,1.99,-3.55,0.64,0.95,71.99,0.78,7.17,21,MISS,0.11
402,1.99,1.26,0.60,0.53,72,0.91,7.90,24,MISS,0.57
436,1.99,1.21,0.62,0.48,71.83,0.93,7.91,38,HIT,0.27
451,1.99,0.25,0.82,0.09,4.84,0.74,2.24,2,MISS,-0.98
482,1.99,-0.58,0.68,-0.25,58.76,0.93,7.98,11,MISS,0.78
453,1.99,0.75,0.67,-0.70,71.84,0.88,7.97,25,HIT,0.16
453,1.99,0.91,0.67,0.76,68.89,0.69,7.95,4,MISS,-1.00
477,1.99,0.57,0.62,0.34,44,0.94,7.98,9,MISS,1.00
497,1.79,-0.64,0.69,-0.70,72,0.88,7.97,23,MISS,0.73
508,1.79,-0.69,0.68,0.80,72,0.69,7.97,37,HIT,0.02
462,1.79,0,0.42,0.77,43.91,0.81,0,1,MISS,0.81
473,1.99,0.84,0.54,0.43,68.88,0.92,7.96,12,MISS,0.86
463,1.99,0.66,0.68,0.60,67.50,0.87,7.97,13,BULLETHITBULLET,0.77
468,1.99,0.09,0.83,0.31,42.94,0.78,1,1,MISS,-0.97
453,1.99,-0.82,0.67,-0.78,59.78,0.67,7.96,5,MISS,0.98
427,1.99,-3.62,0.65,0.70,71.73,0.80,7.13,12,MISS,0.33
492,1.79,-0.62,0.67,0.44,72,0.93,7.98,25,MISS,1.00
493,1.79,-0.63,0.67,0.85,72,0.89,7.97,39,HIT,0.70
480,1.79,-0.58,0.66,0.82,72,0.69,7.98,53,MISS,-0.21
450,1.99,0.88,0.42,0.19,43.94,0.94,7.95,9,MISS,1.00
453,1.99,0.76,0.64,0.42,72,0.93,7.96,23,MISS,0.63
463,1.17,0.91,0.65,0.79,71.92,0.95,7.95,37,MISS,-0.11
458,1.06,0.56,0.74,0.68,3.14,0.92,4.97,5,MISS,0.25
466,0.10,0.66,0.63,0,35.95,0.94,6.97,6,MISS,-0.88
470,0.10,0.75,0.57,-0.19,44,0.93,7.96,9,MISS,0.55
494,0.10,-0.26,0.79,0.58,21,0.92,2.99,3,MISS,0.18
506,0.13,0.08,0.81,-0.19,35.96,0.84,1,0,MISS,-0.44
503,0.17,-0.54,0.60,0.14,53.99,0.94,7.98,10,HIT,0.17
479,0.16,-0.05,0.81,0.10,13.05,0.85,1,1,MISS,0.94
487,0.17,-0.40,0.62,0.58,71.74,0.97,8,16,HIT,0.03
471,0.17,0.31,0.76,0.31,13.98,0.92,3.49,3,HIT,0.17
470,0.18,0.30,0.67,0.42,67.87,0.96,6,0,MISS,-1.00
466,0.17,0.69,0.57,0.26,36,0.97,7.97,8,MISS,1.00
455,0.18,0.73,0.58,-0.90,72,0.95,7.97,20,MISS,0.65
445,0.18,0.83,0.55,0.89,72,0.81,7.96,31,MISS,-0.31
429,0.17,1.27,0.52,-0.08,56.80,0.97,7.90,11,MISS,0.47
419,0.17,1.33,0.54,0.50,71.70,0.94,7.89,22,MISS,-0.95
359,0.16,1.62,0.42,-0.22,44,0.94,7.83,9,MISS,0.48
255,0.22,1.37,0.53,0.55,10.04,0.86,3.76,4,MISS,1.00
242,0.22,3.11,0.23,0.82,70.20,0.95,7.37,15,HIT,0.88
473,1.99,0.92,0.67,0,59.93,0.87,7.95,6,HIT,0.10
501,1.99,-0.61,0.68,-0.04,51,0.88,7.98,10,BULLETHITBULLET,0.70
485,1.99,-0.46,0.68,-0.21,57,0.81,7.99,11,MISS,-1.00
510,1.99,-0.54,0.70,-0.68,71.99,0.69,7.98,11,MISS,0.55
506,1.99,-2.80,0.71,0.50,68.24,0.59,7.49,5,MISS,0.12
521,1.99,-0.21,0.63,0.60,11.99,0.89,1.99,1,HIT,-0.31
542,1.99,0,0.79,0.17,26.95,0.79,0,0,MISS,0.02
498,1.99,0.02,0.60,0,20.77,0.92,6.25,6,MISS,-0.57
495,1.99,-1.23,0.69,-0.25,58.75,0.60,7.90,11,MISS,0.03
470,1.99,0,0.43,-0.57,19.95,0.82,0,4,MISS,0.67
483,1.99,-0.28,0.49,0.19,20.77,0.92,5,4,MISS,0.95
476,1.99,-0.29,0.62,0.54,71.81,0.93,8,10,MISS,0.95
474,1.99,0.22,0.67,0.92,71.95,0.92,8,27,MISS,0.03
458,1.99,-0.35,0.75,0.95,65.91,0.89,3.98,0,MISS,-0.48
420,1.99,1.33,0.66,-0.54,71.67,0.94,7.89,18,MISS,-0.94
435,1.99,1.22,0.67,-0.19,50.86,0.94,7.91,10,MISS,1.00
430,1.99,0.96,0.64,-0.85,72,0.91,7.94,24,MISS,0.57
411,1.99,1.30,0.64,0.84,72,0.88,7.89,38,MISS,-0.34
473,1.99,0.60,0.67,0.06,62,0.92,7.98,12,BULLETHITBULLET,0.77
497,1.99,-1.02,0.69,0.44,68.98,0.84,7.93,4,MISS,0.82
476,1.99,-4.07,0.67,0.44,71.88,0.75,6.88,18,MISS,0.28
378,1.99,0,0.50,0.38,6,0.72,0,6,HIT,0.74
471,1.99,0.62,0.67,0.60,72,0.92,7.98,21,BULLETHITBULLET,0.17
412,1.99,0.84,0.55,0.20,35.89,0.92,5.94,2,MISS,1.00
457,1.99,0.71,0.66,0.98,71.91,0.92,7.97,35,MISS,-0.55
417,1.99,0.73,0.73,0.17,3.18,0.90,4.95,5,MISS,1.00
486,1.99,-0.60,0.68,0.88,71.86,0.86,7.98,33,BULLETHITBULLET,0.72
456,1.99,0.76,0.65,-0.34,72,0.92,7.96,19,MISS,1.00
443,1.99,-3.03,0.66,0.85,71.87,0.83,7.41,47,MISS,-0.32
462,1.81,0.70,0.66,-0.24,72,0.92,7.97,18,MISS,-0.67
475,1.99,0.25,0.67,-0.53,71.84,0.87,8,18,MISS,-0.88
483,1.81,-0.52,0.68,-0.12,47.48,0.94,7.98,9,MISS,0.86
473,1.36,0.72,0.64,0.59,71.98,0.92,7.97,29,MISS,-0.15
483,1.14,-0.29,0.74,0.30,3.01,0.94,5,5,MISS,0.68
483,0.69,-0.29,0.72,0.70,10.12,0.90,3.99,4,MISS,-0.97
475,0.46,-0.56,0.61,-0.24,47.50,0.95,7.98,9,MISS,1.00
473,0.24,0.58,0.59,-0.84,72,0.90,7.98,22,MISS,0.57
479,0.10,-0.68,0.60,0.97,71.51,0.72,7.97,35,MISS,-0.79
505,0.10,-0.64,0.56,-0.11,40,0.95,7.97,8,MISS,0.49
494,0.10,-0.39,0.62,0.43,70.89,0.97,8,9,MISS,-0.36
493,0.10,-0.63,0.62,-0.21,46.99,0.81,7.98,7,MISS,-0.81
490,0.10,-0.30,0.64,0,15.03,0.93,6,6,MISS,1.00
457,0.10,0.93,0.59,-0.68,71.96,0.96,7.95,17,MISS,0.57
407,0.10,1.42,0.52,0.97,71.81,0.92,7.87,29,HIT,-0.42
240,1.99,2.56,0.44,0,68.39,0.89,7.58,6,MISS,1.00
293,1.99,2.63,0.54,0.78,71.43,0.91,7.56,21,MISS,-0.30
274,1.99,2.73,0.48,0.10,35.93,0.93,7.52,8,MISS,0.83
290,1.99,2.46,0.50,0.68,71.67,0.93,7.61,22,BULLETHITBULLET,-1.00
339,1.99,4.46,0.58,0,54,0.89,6.64,10,HIT,-0.94
337,1.99,2.17,0.58,-0.27,50.81,0.93,7.70,10,MISS,1.00
356,1.99,1.63,0.59,0.56,71.96,0.78,7.83,24,MISS,0.53
357,1.99,0,0.50,0.53,35.94,0.79,0,2,HIT,0.07
347,1.99,0,0.49,0,11.99,0.77,0,2,MISS,0.87
362,1.99,1.57,0.58,0.58,71.97,0.90,7.84,22,BULLETHITBULLET,0.51
355,1.99,1.84,0.51,0.39,53.94,0.91,7.79,7,MISS,1.00
346,1.99,1.72,0.57,1,72,0.91,7.81,36,MISS,-0.98
341,1.99,2,0.58,-0.20,43.97,0.92,7.75,9,HIT,0.97
389,1.99,1.60,0.61,0.72,71.51,0.91,7.84,27,MISS,-0.30
367,1.99,1.83,0.61,0.11,43.91,0.92,7.79,9,MISS,0.55
430,1.99,0.97,0.64,0.28,54.75,0.78,7.94,10,BULLETHITBULLET,0.78
408,1.99,0.49,0.77,0.51,14.54,0.86,3.47,2,MISS,0.69
448,1.99,0.81,0.54,-0.28,57,0.94,7.96,14,BULLETHITBULLET,0.94
418,1.99,0,0.80,0.69,51.99,0.46,0,0,MISS,-0.99
460,1.99,0.70,0.64,-0.73,72,0.88,7.97,28,MISS,-0.24
473,1.99,0.09,0.74,0.30,35.94,0.86,1.50,1,MISS,0.32
482,1.99,-0.39,0.68,-0.14,71.96,0.86,8,16,MISS,-0.78
483,1.99,-0.51,0.73,0.40,23.25,0.89,6.73,7,MISS,0.70
482,1.99,-0.59,0.68,-0.51,72,0.68,7.98,11,MISS,0.37
457,1.99,0,0.32,0.70,35.75,0.82,0,2,MISS,0.41
444,1.99,0,0.31,0.38,0,0.81,0,16,MISS,0.89
466,1.79,0.69,0.53,0.18,43.94,0.92,7.97,30,MISS,0.68
476,1.79,0.33,0.67,0.64,71.91,0.92,8,44,HIT,-0.30
495,1.79,-0.09,0.82,0.76,39.95,0.85,1,1,HIT,0.32
480,1.79,-0.32,0.66,-0.10,71.81,0.83,8,16,MISS,-0.75
486,0.41,-0.54,0.65,-0.06,53.98,0.93,6.98,1,MISS,0.92
488,1.68,-0.58,0.67,-0.61,72,0.72,7.98,15,MISS,-0.36
484,1.23,-0.39,0.56,0.16,43.98,0.93,8,9,MISS,0.31
475,1,-0.47,0.62,0.49,71.99,0.93,7.99,23,MISS,-0.42
477,0.78,-0.34,0.64,-0.39,65.68,0.88,8,13,MISS,-0.89
479,0.55,-0.34,0.63,-0.22,50.96,0.96,8,10,MISS,0.97
460,0.10,-1.03,0.58,0.59,71.89,0.78,7.93,36,BULLETHITBULLET,0.07
481,0.33,-0.31,0.61,0.46,71.47,0.91,8,22,MISS,0.97
396,0.55,1.72,0.37,0,15.30,0.92,5.75,6,MISS,1.00
412,0.33,1.16,0.53,0.55,71.94,0.92,7.92,18,MISS,1.00
425,0.80,1.12,0.60,1,71.96,0.96,7.92,29,BULLETHITBULLET,0.97
429,0.72,0.98,0.60,1,72,0.91,7.94,41,MISS,-0.69
433,0.55,0.71,0.64,0.08,15.01,0.94,5.96,6,MISS,0.61
456,0.10,0.74,0.59,0.62,72,0.96,7.97,21,MISS,-0.57
458,0.10,0.71,0.58,-0.42,62,0.96,7.97,12,MISS,0.35
454,0.10,0.11,0.77,0.01,12.02,0.91,3,0,MISS,-0.93
469,0.10,0.63,0.57,0.24,47.50,0.86,7.98,9,MISS,0.47
467,0.10,-0.54,0.57,-0.86,71.88,0.66,7.98,20,MISS,-0.71
412,0.10,0.61,0.55,0.52,8,0.89,3.95,7,MISS,0.96
337,0.10,1.27,0.55,0.52,66.84,0.95,5.86,0,MISS,1.00
308,0.10,1.71,0.46,0,69.40,0.91,5.75,0,MISS,-1.00
331,0.10,1.88,0.40,-0.55,43.98,0.91,7.78,9,MISS,0.74
365,0.10,1.57,0.47,0.63,72,0.94,7.84,20,MISS,0.03
394,0.10,0.78,0.69,0.05,10.99,0.93,3.92,4,MISS,-0.88
407,0.10,1.17,0.52,-0.44,59.50,0.92,7.91,11,MISS,0.41
280,0.10,0.19,0.68,0,5.31,0.80,1.46,1,MISS,0.78
190,0.10,0,0.55,0,43.95,0.56,0,1,HIT,-0.71
378,1.99,1.43,0.63,0,71.99,0.83,7.87,26,MISS,-0.11
354,1.99,1.90,0.59,-0.16,43.96,0.92,7.77,9,MISS,-0.74
342,1.99,1.96,0.58,-0.33,58.21,0.83,7.76,5,MISS,0.20
368,1.99,0.40,0.77,0.21,21.19,0.75,1.96,2,MISS,-0.93
316,1.99,2.35,0.54,-0.61,71.59,0.90,7.65,17,MISS,0.61
341,1.99,1.81,0.58,0.61,71.92,0.92,7.79,31,HIT,-0.39
376,1.99,1.66,0.59,-0.20,43.88,0.91,7.83,9,MISS,-0.93
366,1.99,1.90,0.61,-0.41,65.64,0.93,7.77,13,HIT,0.96
383,1.99,1.42,0.62,0.56,71.93,0.92,7.87,28,MISS,0.29
374,1.99,1.35,0.65,0.38,26,0.91,6.87,7,MISS,-0.76
416,1.99,1.34,0.63,-0.22,50.81,0.91,7.89,10,MISS,0.35
412,1.99,0,0.81,0.36,36.87,0.80,0,0,MISS,0.09
382,1.99,0.15,0.78,-0.03,32.95,0.83,2,0,MISS,-0.82
416,1.42,0.82,0.68,-0.24,29.97,0.93,5.94,4,MISS,1.00
455,1.31,0.82,0.64,-0.72,72,0.94,7.96,17,MISS,0.57
465,1.22,0.79,0.64,0.92,71.82,0.94,7.96,30,MISS,0.18
490,1.14,-0.25,0.75,0.62,3.80,0.93,5,5,MISS,-0.67
506,1.07,-0.88,0.72,0.11,15.01,0.87,5.93,6,MISS,1.00
475,1,-1.91,0.62,-0.54,71.93,0.87,7.77,20,MISS,0.52
492,0.94,-0.37,0.64,0.59,71.83,0.76,8,35,MISS,-0.73
536,0.43,-0.80,0.64,-0.17,44,0.89,7.96,9,MISS,0.69
536,0.41,-0.75,0.64,-0.76,72,0.69,7.96,20,MISS,0.54
530,0.40,-0.22,0.49,0.72,33.06,0.90,1.99,2,BULLETHITBULLET,0.05
524,0.15,-4.13,0.67,0.46,26.33,0.61,5.65,7,MISS,-0.85
521,0.15,-0.48,0.50,-0.07,15.89,0.94,5.98,6,MISS,0.95
505,0.14,-0.43,0.59,-0.63,71.83,0.94,7.99,17,MISS,0.40
497,0.14,-0.63,0.61,0.85,71.97,0.96,7.97,28,MISS,-0.64
500,0.14,-0.14,0.67,-0.11,38.96,0.91,6,1,MISS,0.58
496,0.14,-0.46,0.61,0.48,68.94,0.85,7.99,4,MISS,-0.15
471,0.14,0.30,0.67,0.07,0.74,0.92,3.24,3,HIT,0.17
464,0.13,0.40,0.72,0.12,5.67,0.80,4.36,4,MISS,-0.89
479,0.14,-0.51,0.60,-0.36,58.44,0.95,7.98,11,MISS,0.35
478,0.14,-0.28,0.65,0.50,62.83,0.95,7,2,MISS,-0.98
493,0.13,-0.47,0.64,-0.32,49.48,0.92,7.49,2,MISS,0.58
487,0.13,-0.34,0.59,0.59,71.74,0.81,8,16,MISS,-0.76
511,0.13,-0.61,0.63,-0.33,57,0.97,7.98,11,MISS,0.29
500,0.13,-0.31,0.74,0.19,5.53,0.93,4.49,4,MISS,-0.90
501,0.13,-0.55,0.65,-0.12,28.50,0.95,7.23,7,MISS,1.00
497,0.12,-0.39,0.61,-0.74,71.86,0.96,8,19,MISS,0.40
490,0.10,-0.58,0.59,0.93,71.95,0.94,7.98,30,MISS,-0.75
476,0.10,0.49,0.60,-0.51,67.90,0.96,7.98,6,MISS,-0.32
475,0.10,0.18,0.60,-0.16,56.94,0.96,8,11,MISS,-0.96
487,0.10,-0.60,0.59,-0.20,44,0.94,7.98,9,MISS,0.58
495,0.10,-0.63,0.62,0.50,72,0.96,7.97,21,HIT,-0.66
